isocode,country,agroecological_zones,administrative_areas,agricultural_practices,measuredItemCPC,crop,scientific_name,botanical_family,other_names,additional_information,planting_period_onset,,planting_period_end,sowing_planting_rate,sowing_planting_rate_range,sowing_planting_rate_unit,length_of_the_cropping_cycle,harvesting_period_onset,harvesting_period_end,comments,harvesting_month_onset,harvesting_month_end,sowing_month_start,sowing_month_end,,,,
EGY,Egypt,Upper Egypt Region,"Assuit, Sohag, Qena, Luxor and Aswan",Clay to salty clay soils (Nile transmitted) furrow irrigation method by water from Nile and connected channels using animal droving water wheels or simple pumps,01701.01,"Common beans, dry",Phaseolus vulgaris L.,Fabaceae,,Autumn season,9-Jan,1-Sep,15/09,,75-100,kg/ha,90-110 days,11-Jan,20/11,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,11,11,,,,,,
EGY,Egypt,Delta region,"Cairo, Kalubia, Menofia, Sharqiea, Daqahlia, Gharbia, Kafer Elshiekh,  Behiara, Rashid, Alexandria, Demiat",Clay to salty clay soils (Nile transmitted) furrow irrigation method by water from Nile and connected channels using animal droving water wheels or simple pumps,01214,Lettuce,Lactuca sativa L.,Asteraceae,,Iceberg type,9-Jan,1-Sep,31/05,,150-200,gr/ha,70-90 days,11-Jan,15/06,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,11,6,,,,,,
EGY,Egypt,Delta region,"Cairo, Kalubia, Menofia, Sharqiea, Daqahlia, Gharbia, Kafer Elshiekh,  Behiara, Rashid, Alexandria, Demiat",Clay to salty clay soils (Nile transmitted) furrow irrigation method by water from Nile and connected channels using animal droving water wheels or simple pumps,01214,Lettuce,Lactuca sativa L.,Asteraceae,,Roman type ,9-Jan,1-Sep,30/04,,150-200,gr/ha,55-75 days,20/10,20/05,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,10,5,,,,,,
EGY,Egypt,"Middle Egypt  new reclaimed land Region ""MENRL""","Giza, Fayoum. Beni Sweaf and El-Minya ",Sandy soil drip irrigation method by water from Nile connected channels using high pressure pumps ,01214,Lettuce,Lactuca sativa L.,Asteraceae,,Roman type ,9-Jan,1-Sep,30/04,,150-200,gr/ha,55-75 days,20/10,20/05,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,10,5,,,,,,
EGY,Egypt,Middle Egypt Region,"Giza, Fayoum. Beni Sweaf and El-Minya ",Clay to salty clay soils (Nile transmitted) furrow irrigation method by water from Nile and connected channels using animal droving water wheels or simple pumps,01214,Lettuce,Lactuca sativa L.,Asteraceae,,Iceberg type,9-Jan,1-Sep,31/05,,150-200,gr/ha,70-90 days,11-Jan,15/06,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,11,6,,,,,,
EGY,Egypt,Middle Egypt Region,"Giza, Fayoum. Beni Sweaf and El-Minya ",Clay to salty clay soils (Nile transmitted) furrow irrigation method by water from Nile and connected channels using animal droving water wheels or simple pumps,01214,Lettuce,Lactuca sativa L.,Asteraceae,,Roman type ,9-Jan,1-Sep,30/04,,150-200,gr/ha,55-75 days,20/10,20/05,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,10,5,,,,,,
EGY,Egypt,"Near by Delta region old reclaimed soils ""NDRORL""","South Tahrir (Menofia), North and ElBostan Tahrir (Behiara), Gable Asfer (Kalubia),  Abu Kbir (Sharqiea), Kassasein and Abu sultan (Ismaeilia) ",Salty to sandy soil drip or furrow irrigation method by water from Nile connected channels using simple pumps or high pressure pumps ,01214,Lettuce,Lactuca sativa L.,Asteraceae,,Roman type ,9-Jan,1-Sep,30/04,,150-200,gr/ha,55-75 days,20/10,20/05,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,10,5,,,,,,
EGY,Egypt,New Valley (Oasis),"AL-Kharga, Dkhla, Mut, Paris, Farafra and Siwa Oasis",Sandy soil Farrow irrigation method by water from Near  under ground using simple pumps or spring water come out without pumping,01214,Lettuce,Lactuca sativa L.,Asteraceae,,Roman type ,9-Jan,1-Sep,30/04,,150-200,gr/ha,55-75 days,20/10,20/05,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,10,5,,,,,,
EGY,Egypt,North Sinai Region ,North Sinai ,"Sandy soil depend on rain in winter and newly reclaimed near by Suez channel are going to use  the Nile water transmitted under Suez channel, Also drip irrigation method  is used in the east area (Rafah) depending on water from under ground using high pressure pumps ",01214,Lettuce,Lactuca sativa L.,Asteraceae,,Roman type ,9-Jan,1-Sep,30/04,,150-200,gr/ha,55-75 days,20/10,20/05,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,10,5,,,,,,
EGY,Egypt,North West Region,Marsa Matruh,Sandy soil depend on rain in winter and sometimes Farrow irrigation method by water from Near  under ground (rain storage) using simple pumps in late winter and very early summer,01214,Lettuce,Lactuca sativa L.,Asteraceae,,Roman type ,9-Jan,1-Sep,30/04,,150-200,gr/ha,55-75 days,20/10,20/05,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,10,5,,,,,,
EGY,Egypt,South Sinai Region ,South Sinai ,Sandy soil depend drip irrigation method  by water from under ground using high pressure pumps ,01214,Lettuce,Lactuca sativa L.,Asteraceae,,Roman type ,9-Jan,1-Sep,30/04,,150-200,gr/ha,55-75 days,20/10,20/05,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,10,5,,,,,,
EGY,Egypt,Toska Region,Toska (New Valley),"Sandy soil drip, Pivot or sprinkle irrigation method by water from  Toska Channel (Nile Water) and udder ground water using  high pressure pumps (almost fertigation are the main fertilization method after planting)  ",01214,Lettuce,Lactuca sativa L.,Asteraceae,,Roman type ,9-Jan,1-Sep,30/04,,150-200,gr/ha,55-75 days,20/10,20/05,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,10,5,,,,,,
EGY,Egypt,Upper Egypt Region,"Assuit, Sohag, Qena, Luxor and Aswan",Clay to salty clay soils (Nile transmitted) furrow irrigation method by water from Nile and connected channels using animal droving water wheels or simple pumps,01214,Lettuce,Lactuca sativa L.,Asteraceae,,Roman type ,9-Jan,1-Sep,30/04,,150-200,gr/ha,55-75 days,20/10,20/05,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,10,5,,,,,,
EGY,Egypt,Upper Egypt new reclaimed land Region,"Assuit, Sohag, Qena, Luxor and Aswan",Sandy soil drip irrigation method by water from Nile connected channels using high pressure pumps ,01214,Lettuce,Lactuca sativa L.,Asteraceae,,Roman type ,9-Jan,1-Sep,30/04,,150-200,gr/ha,55-75 days,20/10,20/05,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,10,5,,,,,,
EGY,Egypt,"near by Delta region new reclaimed soils ""NDRNRL""","Khtatba, Sadaat, Wadi ElNetron (Menofia),  Nubaria (Behiara), Salehia (Ismaeilia),","Sandy soil drip, Pivot or sprinkle irrigation method by water from under ground using deep high pressure pumps (almost fertigation are the main fertilization method after planting)  ",01214,Lettuce,Lactuca sativa L.,Asteraceae,,Iceberg type,9-Jan,1-Sep,31/05,,150-200,gr/ha,70-90 days,11-Jan,15/06,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,11,6,,,,,,
EGY,Egypt,"near by Delta region new reclaimed soils ""NDRNRL""","Khtatba, Sadaat, Wadi ElNetron (Menofia),  Nubaria (Behiara), Salehia (Ismaeilia),","Sandy soil drip, Pivot or sprinkle irrigation method by water from under ground using deep high pressure pumps (almost fertigation are the main fertilization method after planting)  ",01214,Lettuce,Lactuca sativa L.,Asteraceae,,Roman type ,9-Jan,1-Sep,30/04,,150-200,gr/ha,55-75 days,20/10,20/05,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,10,5,,,,,,
EGY,Egypt,Toska Region,Toska (New Valley),"Sandy soil drip, Pivot or sprinkle irrigation method by water from  Toska Channel (Nile Water) and udder ground water using  high pressure pumps (almost fertigation are the main fertilization method after planting)  ",0122,Melon,Cucumis melo L.,Cucurbitaceae,,Galia and charenteas types,9-Jan,1-Sep,10-Oct,,300-400,gr/ha,120-150 days,15/11,2-Oct,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,11,2,,,,,,
EGY,Egypt,Upper Egypt new reclaimed land Region,"Assuit, Sohag, Qena, Luxor and Aswan",Sandy soil drip irrigation method by water from Nile connected channels using high pressure pumps ,0122,Melon,Cucumis melo L.,Cucurbitaceae,,Galia and charenteas types,9-Jan,1-Sep,10-Oct,,300-400,gr/ha,120-150 days,15/11,2-Oct,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,11,2,,,,,,
EGY,Egypt,Middle Egypt Region,"Giza, Fayoum. Beni Sweaf and El-Minya ",Clay to salty clay soils (Nile transmitted) furrow irrigation method by water from Nile and connected channels using animal droving water wheels or simple pumps,01253,Onion,Allium cepa L.,Alliaceae,,,9-Jan,1-Sep,20/09,,8-Apr,kg/ha,200-240 days,3-Jan,30/03,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,3,3,,,,,,
EGY,Egypt,Toska Region,Toska (New Valley),"Sandy soil drip, Pivot or sprinkle irrigation method by water from  Toska Channel (Nile Water) and udder ground water using  high pressure pumps (almost fertigation are the main fertilization method after planting)  ",01221,Watermelon,Citrullus lanatus (Thunb.) Matsum. & Nakai,Cucurbitaceae,,,9-Jan,1-Sep,10-Oct,,350-500,gr/ha,120-150 days,15/11,2-Oct,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,11,2,,,,,,
EGY,Egypt,Upper Egypt new reclaimed land Region,"Assuit, Sohag, Qena, Luxor and Aswan",Sandy soil drip irrigation method by water from Nile connected channels using high pressure pumps ,01221,Watermelon,Citrullus lanatus (Thunb.) Matsum. & Nakai,Cucurbitaceae,,,9-Jan,1-Sep,10-Oct,,350-500,gr/ha,120-150 days,15/11,2-Oct,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,11,2,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01199.90,Amaranthus,Amaranthus hybridus,Amaranthaceae,,,9-Jan,1-Sep,31/10,,"11,111",plantlets/ha,30 days,11-Jan,20/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,11,12,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01241,"Bean, green",Phaseolus vulgaris L.,Fabaceae,,Dumasi,9-Jan,1-Sep,31/10,,15-20,kg/ha,90-120 days,1-Jan,28/02,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,2,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01241,"Bean, green",Phaseolus vulgaris L.,Fabaceae,,Ebebiyin,9-Jan,1-Sep,31/10,,15-20,kg/ha,90-120 days,1-Jan,28/02,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,2,,,,,,
GNQ,Equatorial Guinea,Insular Region,"Three provinces: Bioko North, Bioko South and the island of Annobon; 5 districts and 6 municipalities","Subsistence agriculture, non irrigated crops, some fertilizer utilization.",01241,"Bean, green",Phaseolus vulgaris L.,Fabaceae,,,9-Jan,1-Sep,31/10,,15-20,kg/ha,90-120 days,1-Jan,28/02,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,2,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01212,"Cabbage, common",Brassica oleracea L. var. capitata,Brassicaceae,,,9-Jan,1-Sep,31/10,,300,gr/ha,90 days,12-Jan,31/01,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,12,1,,,,,,
GNQ,Equatorial Guinea,Insular Region,"Three provinces: Bioko North, Bioko South and the island of Annobon; 5 districts and 6 municipalities","Subsistence agriculture, non irrigated crops, some fertilizer utilization.",01701.01,"Common beans, dry",Phaseolus vulgaris L.,Fabaceae,,,9-Jan,1-Sep,31/10,,57-49,kg/ha,90-120 days,12-Jan,31/01,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,12,1,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01232,Cucumber,Cucumis sativus L.,Cucurbitaceae,Gherkin,,9-Jan,1-Sep,31/10,,15-20,kg/ha,60 days,12-Jan,31/01,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,12,1,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,,9-Jan,1-Sep,31/10,,140-150,gr/ha,120 days,1-Jan,28/02,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,2,,,,,,
GMB,Gambia,,,,0142,Groundnut,,,,,8,,10,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,11,2,6,7,,,,
GMB,Gambia,,,,0112,Maize (corn),,,,,8,,8,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,9,10,5,7,,,,
GMB,Gambia,,,,0118,Millet,,,,,8,,9,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,,,,,,,,
GMB,Gambia,,,,0118,Millet,,,,,,,,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,10,11,6,7,,,,
GMB,Gambia,,,,0113,Rice,,,,,8,,9,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,10,11,6,7,,,,
GMB,Gambia,,,,0114,Sorghum,,,,,8,,9,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,10,11,6,7,,,,
GEO,Georgia,,,,0112,Maize (corn),,,,,7,,7,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,8,9,4,6,,,,
GEO,Georgia,,,,0111,Wheat,,,,Winter,11,,6,,,,,,,http://www.fao.org/giews/reports/en/ ; PERSONAL EMAIL,7,8,8,10,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01214,Lettuce,Lactuca sativa L.,Asteraceae,,,9-Jan,1-Sep,31/10,,500,gr/ha,60 days,12-Jan,31/01,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,12,1,,,,,,
GNQ,Equatorial Guinea,Insular Region,"Three provinces: Bioko North, Bioko South and the island of Annobon; 5 districts and 6 municipalities","Subsistence agriculture, non irrigated crops, some fertilizer utilization.",01214,Lettuce,Lactuca sativa L.,Asteraceae,,,9-Jan,1-Sep,31/10,,500,gr/ha,60 days,12-Jan,31/01,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,12,1,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",0112,Maize (corn),Zea mays L.,Poaceae,Corn,Second season,9-Jan,1-Sep,15/09,,15-20,kg/ha,90-120 days,30/11,15/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,11,12,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",0122,Melon,Cucumis melo L.,Cucurbitaceae,,,9-Jan,1-Sep,31/10,,20-30,kg/ha,90-100 days,1-Jan,28/02,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,2,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01239.01,Okra,Abelmoschus esculentus (L.) Moench,Malvaceae,Lady's-fingers,,9-Jan,1-Sep,31/10,,80-100,kg/ha,60-70 days,12-Jan,31/01,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,12,1,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01253,Onion,Allium cepa L.,Alliaceae,,,9-Jan,1-Sep,31/10,,200,kg/ha,180 days,3-Jan,30/04,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,3,4,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01231,"Pepper, chili",Capsicum frutescens L.,Solanaceae,"Pepper, Tabasco",Dumasi,9-Jan,1-Sep,31/10,,,,120 days,1-Jan,28/02,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,2,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01231,"Pepper, chili",Capsicum frutescens L.,Solanaceae,"Pepper, Tabasco",Ebebiyin,9-Jan,1-Sep,31/10,,,,120 days,1-Jan,28/02,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,2,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01231,"Pepper, sweet",Capsicum annuum L.,Solanaceae,,Ebebiyin,9-Jan,1-Sep,31/10,,500,gr/ha,120 days,2-Jan,31/03,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,2,3,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01231,"Pepper, sweet",Capsicum annuum L.,Solanaceae,,Evinayong,9-Jan,1-Sep,31/10,,500,gr/ha,120 days,2-Jan,31/03,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,2,3,,,,,,
GNQ,Equatorial Guinea,Insular Region,"Three provinces: Bioko North, Bioko South and the island of Annobon; 5 districts and 6 municipalities","Subsistence agriculture, non irrigated crops, some fertilizer utilization.",01231,"Pepper, sweet",Capsicum annuum L.,Solanaceae,,,9-Jan,1-Sep,31/10,,500,gr/ha,120 days,2-Jan,31/03,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,2,3,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",0113,Rice,Oryza sativa L.,Poaceae,,First season,9-Jan,1-Sep,15/09,,100-150,kg/ha,80-100 days,30/11,15/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,11,12,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01550,Taro,Colocasia esculenta (L.) Schott,Araceae,,,9-Jan,1-Sep,31/10,,"27,777",corms/ha,200-240 days,5-Jan,30/06,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,5,6,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01234,Tomato,Lycopersicon esculentum Mill.,Solanaceae,,Ebebiyin,9-Jan,1-Sep,31/10,,1,kg/ha,90 days,1-Jan,28/02,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,2,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01234,Tomato,Lycopersicon esculentum Mill.,Solanaceae,,Evinayong,9-Jan,1-Sep,31/10,,1,kg/ha,90 days,1-Jan,28/02,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,2,,,,,,
GNQ,Equatorial Guinea,Continental region,"The Continental region has 4 provinces, 13 districts and 23 municipalities","Subsistence agriculture, non irrigated crops and very little use of fertilizers and pesticides.",01234,Tomato,Lycopersicon esculentum Mill.,Solanaceae,,Mongomo,9-Jan,1-Sep,31/10,,1,kg/ha,90 days,1-Jan,28/02,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,2,,,,,,
ERI,Eritrea,Moist lowland,Part of Zoba Debub and Zoba Gash Barka,"Rainfed and irrigated agriculture, as well as agro-pastoralism",01312,Bananas,Musa ×paradisiaca L.,Musaceae,,,9-Jan,1-Sep,31/12,,"2,400",plants/ha,330-360 days,,,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,,,,,,,,
ERI,Eritrea,Moist lowland,Part of Zoba Debub and Zoba Gash Barka,"Rainfed and irrigated agriculture, as well as agro-pastoralism",01703,"Chick peas, dry",Cicer arietinum L.,Fabaceae,Gram,,9-Jan,1-Sep,15/09,,35,kg/ha,120-127 days,22/01,31/01,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,1,,,,,,
ERI,Eritrea,Semi desert zone,Coastal areas of Northern and Southern Red Sea and small part of Zoba Gash Barka Zones,"Rainfed and irrigated agriculture, pastoralism",0112,Maize (corn),Zea mays L.,Poaceae,Corn,,9-Jan,1-Sep,30/09,,30,kg/ha,135-165 days,22/02,15/04,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,2,4,,,,,,
ERI,Eritrea,Semi desert zone,Coastal areas of Northern and Southern Red Sea and small part of Zoba Gash Barka Zones,"Rainfed and irrigated agriculture, pastoralism",0114,Sorghum,Sorghum bicolor (L.) Moench,Poaceae,,,9-Jan,1-Sep,30/09,,15,kg/ha,105-110 days,15/12,15/01,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,12,1,,,,,,
EST,Estonia ,,,,0111,Winter Wheat,,,,,9-Jan,1-Sep,12,,,,120,5,8,http://www.amis-outlook.org/amis-about/calendars/en/,5,8,,,,,,
FIN,Finland ,,,,0111,Winter Wheat,,,,,9-Jan,1-Sep,12,,,,120,5,8,http://www.amis-outlook.org/amis-about/calendars/en/,5,8,,,,,,
FRA,France ,,,,0111,Winter Wheat,,,,,9-Jan,1-Sep,12,,,,120,5,8,http://www.amis-outlook.org/amis-about/calendars/en/,5,8,,,,,,
GAB,Gabon,"Libreville, N'toum, Cocobeach and Kango",Estuary province,"Conventional market gardening. The methods used are more modern with applications of fertilizers, chemical pesticides and irrigation for farmers with large farms. There is no mastery of appropriate cultural techniques in the applications of these technologies. Crop rotation is practiced in some zones, while in others, pure cropping is practice. Food crops: population density is very high in the Estuary zone (50-60 % of national population), pressure on land is high and this reduces the fallow period. Food crop are generally cultivated on burnt land after a fallow of 5 to 7 years. Pests and diseases are not controlled by any recommended method. Farmers do not control plant parasites except in situation of severe infestations that they request assistance form competent bodies.",01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,"Modern technique, first season",9-Jan,1-Sep,15/10,,"10,000",cuttings/ha,180-360 days,28/02,31/08,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,2,8,,,,,,
GAB,Gabon,"Libreville, N'toum, Cocobeach and Kango",Estuary province,"Conventional market gardening. The methods used are more modern with applications of fertilizers, chemical pesticides and irrigation for farmers with large farms. There is no mastery of appropriate cultural techniques in the applications of these technologies. Crop rotation is practiced in some zones, while in others, pure cropping is practice. Food crops: population density is very high in the Estuary zone (50-60 % of national population), pressure on land is high and this reduces the fallow period. Food crop are generally cultivated on burnt land after a fallow of 5 to 7 years. Pests and diseases are not controlled by any recommended method. Farmers do not control plant parasites except in situation of severe infestations that they request assistance form competent bodies.",01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,"Traditional technique, first season",9-Jan,1-Sep,15/10,,"85,714-114,285",cuttings/ha,180-360 days,28/02,31/08,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,2,8,,,,,,
GAB,Gabon,"Oyem, Bitam, Minvoul, Mitzic and Médouneu",Woleu N’tem province,"Conventional market gardening. The methods used are more modern with applications of fertilizers, chemical pesticides and irrigation for farmers with large farms. There is no mastery of appropriate cultural techniques in the applications of these technologies. Crop rotation is practiced in some zones, while in others, pure cropping is practice. Food crops: Population density is not very high in the Woleu N'tem zone, and there is no problem with land availability. Food crop are generally cultivated on burnt land after a fallow of 8 to 12 years. As in the Estuary province, pests and diseases are not controlled by any recommended method. Farmers do not control plant parasites except in situation of severe infestations that they request assistance form competent bodies.",01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,First season,9-Jan,1-Sep,15/10,,"85,714-114,285",cuttings/ha,180-360 days,28/02,31/08,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,2,8,,,,,,
GAB,Gabon,"Oyem, Bitam, Minvoul, Mitzic and Médouneu",Woleu N’tem province,"Conventional market gardening. The methods used are more modern with applications of fertilizers, chemical pesticides and irrigation for farmers with large farms. There is no mastery of appropriate cultural techniques in the applications of these technologies. Crop rotation is practiced in some zones, while in others, pure cropping is practice. Food crops: Population density is not very high in the Woleu N'tem zone, and there is no problem with land availability. Food crop are generally cultivated on burnt land after a fallow of 8 to 12 years. As in the Estuary province, pests and diseases are not controlled by any recommended method. Farmers do not control plant parasites except in situation of severe infestations that they request assistance form competent bodies.",01706,"Cow peas, dry",Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,First season,9-Jan,1-Sep,30/09,,16-20,kg/ha,75 days,15/11,15/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,11,12,,,,,,
GAB,Gabon,"Oyem, Bitam, Minvoul, Mitzic and Médouneu",Woleu N’tem province,"Conventional market gardening. The methods used are more modern with applications of fertilizers, chemical pesticides and irrigation for farmers with large farms. There is no mastery of appropriate cultural techniques in the applications of these technologies. Crop rotation is practiced in some zones, while in others, pure cropping is practice. Food crops: Population density is not very high in the Woleu N'tem zone, and there is no problem with land availability. Food crop are generally cultivated on burnt land after a fallow of 8 to 12 years. As in the Estuary province, pests and diseases are not controlled by any recommended method. Farmers do not control plant parasites except in situation of severe infestations that they request assistance form competent bodies.",0142,Groundnut,Arachis hypogaea L.,Fabaceae,Peanut,First season,9-Jan,1-Sep,30/09,,60-80,kg/ha,90-120 days,12-Jan,15/01,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,12,1,,,,,,
GAB,Gabon,"Libreville, N'toum, Cocobeach and Kango",Estuary province,"Conventional market gardening. The methods used are more modern with applications of fertilizers, chemical pesticides and irrigation for farmers with large farms. There is no mastery of appropriate cultural techniques in the applications of these technologies. Crop rotation is practiced in some zones, while in others, pure cropping is practice. Food crops: population density is very high in the Estuary zone (50-60 % of national population), pressure on land is high and this reduces the fallow period. Food crop are generally cultivated on burnt land after a fallow of 5 to 7 years. Pests and diseases are not controlled by any recommended method. Farmers do not control plant parasites except in situation of severe infestations that they request assistance form competent bodies.",0112,Maize (corn),Zea mays L.,Poaceae,Corn,First season,9-Jan,1-Sep,15/10,,15-17,kg/ha,75-120 days,15/11,1-Feb,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,11,1,,,,,,
